date,home_team,away_team,score
2026-06-01,Palestino,Audax Italiano,
2026-06-13,Almagro,Agropecuario,2-1
2026-06-13,Coquimbo Unido,O'Higgins,0-0
2026-06-13,Ferrocarril Midland,Atlanta,1-2
2026-06-13,Quilmes,Gimnasia y Tiro,1-0
2026-06-13,USA,Paraguay,4-1
2026-06-13,Audax Italiano,La Serena,1-1
2026-06-13,Nueva Chicago,Chacarita,2-0
2026-06-13,Colo-Colo,Cobresal,3-0
2026-06-14,Ferro Carril Oeste,Acassuso,2-1
2026-06-14,Almirante Brown,Godoy Cruz,1-0
2026-06-14,Temperley,Guemes,4-1
2026-06-14,Patronato,Atletico Rafaela,0-0
2026-06-14,Gimnasia de Jujuy,San Martin de San Juan,2-1
2026-06-14,Central Norte,San Telmo,0-0
2026-06-15,Ivory Coast,Ecuador,1-0
2026-06-15,Sundsvall,Osters,0-4
2026-06-26,Norway,France,1-4
2026-06-26,Senegal,Iraq,5-0
2026-06-26,Cork City,Bray,2-0
2026-06-26,IK Brage,Falkenbergs FF,2-4
2026-06-26,Dundalk,Waterford,2-3
2026-06-26,Tunisia,Netherlands,1-3
2026-06-27,Nordic United,IK Oddevold,
2026-06-27,Torpedo Zh,Bate Borisov,
2026-06-27,TPS Turku,FF Jaro,
2026-06-27,Varbergs Bois,Osters,
2026-06-29,Germany,Paraguay,
2026-06-30,France,Sweden,
2026-07-01,Mexico,Ecuador,
2026-07-03,Drogheda,Bohemians D.,
2026-07-03,Derry City,Waterford,
2026-07-03,Argentina,Cape Verde Is.,
2026-07-03,Switzerland,Algeria,
2026-07-03,Finn Harps,Wexford Yth,
2026-07-03,Portugal,Croatia,
2026-07-03,Bray,Athlone Town,
2026-07-04,Neman Grodno,Arsenal Dzyarzhynsk,
2026-07-04,Ansan Greeners,Suwon FC,
2026-07-04,Almagro,Atletico Rafaela,
2026-07-04,VPS Vaasa,Mariehamn,
2026-07-04,Daejeon Hana Citizen,Bucheon,
2026-07-04,Anyang,Pohang S,
2026-07-04,Longford T,UCD,
2026-07-04,Degerfors,Malmo,
2026-07-04,Quilmes,Atlanta,
2026-07-04,Colegiales,Gimnasia y Tiro,
2026-07-04,FF Jaro,Ilves Tampere,
2026-07-05,San Martin de San Juan,Chacarita,
2026-07-05,Patronato,San Martin de Tucuman,
2026-07-05,Ferro Carril Oeste,San Telmo,
2026-07-05,Estudiantes Caseros,Racing Cordoba,
2026-07-05,Deportivo Maipu,Agropecuario,
2026-07-05,Chaco For Ever,Acassuso,
2026-07-05,Gyeongnam,Cheonan City,
2026-07-05,Delfin,Emelec,
2026-07-06,Universidad Catolica,Mushuc Runa,
2026-07-07,Switzerland,Colombia,
2026-07-10,Dinamo Minsk,FC Naftan,
2026-07-10,ML Vitebsk,Belshina,
2026-07-10,VPS Vaasa,SJK,
2026-07-10,Isloch Minsk,Bate Borisov,
2026-07-11,Gnistan,Mariehamn,
2026-07-11,All Boys,Almirante Brown,
2026-07-11,San Telmo,Chaco For Ever,
2026-07-11,Los Andes,Ciudad de Bolivar,
2026-07-12,Godoy Cruz,Defensores de Belgrano,
2026-07-12,Gimnasia de Jujuy,Chacarita,
2026-07-12,Agropecuario,Temperley,
2026-07-12,LDU Quito,Libertad Ecu,
2026-07-12,Gimnasia y Tiro,Patronato,
2026-07-12,San Martin de Tucuman,Almagro,
2026-07-12,Racing Cordoba,Acassuso,
2026-07-16,Botafogo,Santos,
2026-07-16,Vitoria,Vasco,
2026-07-17,Chicago,Vancouver W,
2026-07-17,St. Louis City SC,Kansas City,
2026-07-17,Deportivo Maipu,San Martin de Tucuman,
2026-07-17,Nueva Chicago,Agropecuario,
2026-07-17,Cajamarca,Juan Pablo II College,
2026-07-17,Almirante Brown,Estudiantes Caseros,
2026-07-17,Albion FC,Juventud de Las Piedras,
2026-07-18,Nashville MLS,Atlanta U,
2026-07-18,FC Juarez,Puebla,
2026-07-18,Molde,Brann,
2026-07-18,Ostersunds FK,Landskrona BoIS,
2026-07-18,Gangwon,Gimcheon Sangmu,
2026-07-18,Osters,IK Brage,
2026-07-18,Suwon FC,Seoul E-Land,
2026-07-19,Suwon Samsung,Paju Frontier,
2026-07-19,Cerro,Racing Club M,
2026-07-19,Cheongju,Cheonan City,
2026-07-20,Independiente d V,Emelec,
2026-07-20,Chacarita,Guemes,
2026-07-20,San Martin de San Juan,Tristan Suarez,
2026-07-20,TPS Turku,Ilves Tampere,
2026-07-20,Alianza Lima,Sport Huancayo,
2026-07-20,Acassuso,San Telmo,
2026-07-21,Almagro,Gimnasia y Tiro,
2026-07-22,Independiente d V,Tecnico Universitario,
2026-07-23,Botafogo,Vitoria,
2026-07-23,Los Angeles FC,Real Salt Lake,
2026-07-23,Inter Miami CF,Chicago,
2026-07-23,Cincinnati,Vancouver W,
2026-07-23,Portland Timb.,Dallas,
2026-07-23,Kansas City,Minnesota U,
2026-07-23,Nashville MLS,Montreal Imp,
2026-07-23,Austin FC,Seattle,
2026-07-23,San Jose,Orlando City,
2026-07-23,Colorado,San Diego,
