date,home_team,away_team,score
2026-06-01,Palestino,Audax Italiano,
2026-06-13,Coquimbo Unido,O'Higgins,0-0
2026-06-13,Almagro,Agropecuario,2-1
2026-06-13,Colo-Colo,Cobresal,3-0
2026-06-13,Audax Italiano,La Serena,1-1
2026-06-13,Ferrocarril Midland,Atlanta,1-2
2026-06-13,USA,Paraguay,4-1
2026-06-13,Nueva Chicago,Chacarita,2-0
2026-06-13,Quilmes,Gimnasia y Tiro,1-0
2026-06-14,Ferro Carril Oeste,Acassuso,2-1
2026-06-14,Almirante Brown,Godoy Cruz,1-0
2026-06-14,Temperley,Guemes,4-1
2026-06-14,Gimnasia de Jujuy,San Martin de San Juan,2-1
2026-06-14,Central Norte,San Telmo,0-0
2026-06-14,Patronato,Atletico Rafaela,0-0
2026-06-15,Ivory Coast,Ecuador,1-0
2026-06-15,Sundsvall,Osters,0-4
2026-06-26,IK Brage,Falkenbergs FF,2-4
2026-06-26,Dundalk,Waterford,2-3
2026-06-26,Norway,France,1-4
2026-06-26,Cork City,Bray,2-0
2026-06-26,Senegal,Iraq,5-0
2026-06-26,Tunisia,Netherlands,1-3
2026-06-27,Nordic United,IK Oddevold,
2026-06-27,TPS Turku,FF Jaro,
2026-06-27,Varbergs Bois,Osters,
2026-06-27,Torpedo Zh,Bate Borisov,
2026-06-29,Germany,Paraguay,
2026-06-30,France,Sweden,
2026-07-01,Mexico,Ecuador,
2026-07-03,Derry City,Waterford,
2026-07-03,Bray,Athlone Town,
2026-07-03,Finn Harps,Wexford Yth,
2026-07-03,Switzerland,Algeria,
2026-07-03,Argentina,Cape Verde Is.,
2026-07-03,Portugal,Croatia,
2026-07-03,Drogheda,Bohemians D.,
2026-07-04,VPS Vaasa,Mariehamn,
2026-07-04,Almagro,Atletico Rafaela,
2026-07-04,Longford T,UCD,
2026-07-04,Ansan Greeners,Suwon FC,
2026-07-04,Degerfors,Malmo,
2026-07-04,Neman Grodno,Arsenal Dzyarzhynsk,
2026-07-04,FF Jaro,Ilves Tampere,
2026-07-04,Quilmes,Atlanta,
2026-07-04,Daejeon Hana Citizen,Bucheon,
2026-07-04,Colegiales,Gimnasia y Tiro,
2026-07-04,Anyang,Pohang S,
2026-07-05,San Martin de San Juan,Chacarita,
2026-07-05,Gyeongnam,Cheonan City,
2026-07-05,Deportivo Maipu,Agropecuario,
2026-07-05,Estudiantes Caseros,Racing Cordoba,
2026-07-05,Patronato,San Martin de Tucuman,
2026-07-05,Ferro Carril Oeste,San Telmo,
2026-07-05,Delfin,Emelec,
2026-07-05,Chaco For Ever,Acassuso,
2026-07-06,Universidad Catolica,Mushuc Runa,
2026-07-07,Switzerland,Colombia,
2026-07-10,ML Vitebsk,Belshina,
2026-07-10,VPS Vaasa,SJK,
2026-07-10,Dinamo Minsk,FC Naftan,
2026-07-10,Isloch Minsk,Bate Borisov,
2026-07-11,San Telmo,Chaco For Ever,
2026-07-11,Gnistan,Mariehamn,
2026-07-11,All Boys,Almirante Brown,
2026-07-11,Los Andes,Ciudad de Bolivar,
2026-07-12,San Martin de Tucuman,Almagro,
2026-07-12,Racing Cordoba,Acassuso,
2026-07-12,Agropecuario,Temperley,
2026-07-12,Godoy Cruz,Defensores de Belgrano,
2026-07-12,LDU Quito,Libertad Ecu,
2026-07-12,Gimnasia de Jujuy,Chacarita,
2026-07-12,Gimnasia y Tiro,Patronato,
2026-07-16,Botafogo,Santos,
2026-07-16,Vitoria,Vasco,
2026-07-17,Deportivo Maipu,San Martin de Tucuman,
2026-07-17,Nueva Chicago,Agropecuario,
2026-07-17,Chicago,Vancouver W,
2026-07-17,Albion FC,Juventud de Las Piedras,
2026-07-17,Cajamarca,Juan Pablo II College,
2026-07-17,Almirante Brown,Estudiantes Caseros,
2026-07-17,St. Louis City SC,Kansas City,
2026-07-18,Molde,Brann,
2026-07-18,Suwon FC,Seoul E-Land,
2026-07-18,Ostersunds FK,Landskrona BoIS,
2026-07-18,Nashville MLS,Atlanta U,
2026-07-18,FC Juarez,Puebla,
2026-07-18,Osters,IK Brage,
2026-07-18,Gangwon,Gimcheon Sangmu,
2026-07-19,Cerro,Racing Club M,
2026-07-19,Suwon Samsung,Paju Frontier,
2026-07-19,Cheongju,Cheonan City,
2026-07-20,Independiente d V,Emelec,
2026-07-20,Acassuso,San Telmo,
2026-07-20,TPS Turku,Ilves Tampere,
2026-07-20,Chacarita,Guemes,
2026-07-20,Alianza Lima,Sport Huancayo,
2026-07-20,San Martin de San Juan,Tristan Suarez,
2026-07-21,Almagro,Gimnasia y Tiro,
2026-07-22,Independiente d V,Tecnico Universitario,
2026-07-23,Portland Timb.,Dallas,
2026-07-23,Colorado,San Diego,
2026-07-23,Austin FC,Seattle,
2026-07-23,Kansas City,Minnesota U,
2026-07-23,Botafogo,Vitoria,
2026-07-23,Nashville MLS,Montreal Imp,
2026-07-23,San Jose,Orlando City,
2026-07-23,Cincinnati,Vancouver W,
2026-07-23,Inter Miami CF,Chicago,
2026-07-23,Los Angeles FC,Real Salt Lake,
2026-07-24,Racing Club,Gimnasia La Plata,
2026-07-24,Velez Sarsfield,Instituto,
2026-07-25,Coquimbo Unido,Universidad de Concepcion,
2026-07-25,Newell's OB,Talleres de Cordoba,
2026-07-25,Colo-Colo,Deportes Limache,
2026-07-25,San Martin de Tucuman,Temperley,
2026-07-25,Cerro,Racing Club M,
2026-07-25,Deportivo Recoleta,Sp. San Lorenzo,
2026-07-25,Paranaense,Internacional,
2026-07-25,Huachipato,Cobresal,
2026-07-25,Daegu,Suwon FC,
2026-07-25,Tijuana,Leon,
2026-07-25,Tristan Suarez,Chacarita,
2026-07-26,All Boys,Defensores de Belgrano,
2026-07-26,Sundsvall,Falkenbergs FF,
2026-07-26,New York City,Chicago,
2026-07-26,HJK Helsinki,TPS Turku,
2026-07-26,Lanus,San Lorenzo,
2026-07-26,Flamengo,Sao Paulo,
2026-07-26,Cerro,Racing Club M,
2026-07-26,Millonarios,Atletico Bucaramanga,
2026-07-26,Ferrocarril Midland,Patronato,
2026-07-26,IK Sirius,IFK Goth'burg,
2026-07-26,Quilmes,Colegiales,
2026-07-26,Melgar,Sporting Cristal,
2026-07-26,Nublense,Palestino,
2026-07-26,Racing Cordoba,San Telmo,
2026-07-26,Tigres,Atletico San Luis,
2026-07-26,Godoy Cruz,Central Norte,
2026-07-26,Olimpia,Libertad,
2026-07-26,San Jose,LA Galaxy,
2026-07-26,Los Angeles FC,Kansas City,
2026-07-26,Gimnasia de Jujuy,Guemes,
2026-07-26,Sarpsborg,HamKam,
2026-07-26,Portland Timb.,Real Salt Lake,
2026-07-26,Deportivo Riestra,Boca Juniors,
2026-07-26,GAIS,Halmstads,
2026-07-26,Univ Catolica,La Serena,
2026-07-26,San Diego,Dallas,
2026-07-27,Osters,Varbergs Bois,
2026-07-27,Guayaquil City,Universidad Catolica,
2026-07-27,Hacken,AIK Solna,
2026-07-28,Atlanta,Almagro,
2026-07-28,Rubio Nu,Sportivo Ameliano,
2026-07-29,Mirassol,Remo,
2026-07-29,Argentinos Jun,Estudiantes de Rio Cuarto,
2026-07-29,Sp Luqueno,Sportivo Trinidense,
2026-07-30,Talleres de Cordoba,Velez Sarsfield,
2026-07-30,Fluminense,Bahia,
2026-07-30,Sp. San Lorenzo,Club Guarani,
2026-07-31,Bate Borisov,Neman Grodno,
2026-07-31,Montevideo City Torque,Montevideo W,
2026-07-31,Bodo Glimt,Lillestrom,
2026-07-31,Valerenga,HamKam,
2026-08-01,Sandvikens,Sundsvall,
2026-08-01,IK Brage,Landskrona BoIS,
2026-08-01,Ferro Carril Oeste,Godoy Cruz,
2026-08-01,Ostersunds FK,Osters,
2026-08-01,Varbergs Bois,Falkenbergs FF,
2026-08-01,Hwaseong,Daegu,
2026-08-01,Universidad Catolica,Tecnico Universitario,
2026-08-01,TPS Turku,Mariehamn,
2026-08-01,Gangwon,Bucheon,
2026-08-01,Belgrano,Argentinos Jun,
2026-08-01,Patronato,Quilmes,
2026-08-01,Cajamarca,Sport Huancayo,
2026-08-01,Chacarita,Agropecuario,
2026-08-01,Defensores de Belgrano,Estudiantes Caseros,
2026-08-01,Nueva Chicago,San Martin de Tucuman,
2026-08-01,Cheongju,Suwon Samsung,
2026-08-01,Penarol,Cerro Largo,
2026-08-01,FC Lahti,FF Jaro,
2026-08-01,San Martin de San Juan,Atletico Rafaela,
2026-08-02,Colorado,Austin FC,
2026-08-02,Jeonnam Dragons,Paju Frontier,
2026-08-02,Univ de Chile,Huachipato,
2026-08-02,St. Louis City SC,Real Salt Lake,
2026-08-02,Vancouver W,Los Angeles FC,
2026-08-02,Nordic United,Ljungskile,
2026-08-02,Olimpia,Rubio Nu,
2026-08-02,Chacarita,Agropecuario,
2026-08-02,Alianza Lima,Alianza Atletico,
2026-08-02,Montreal Imp,New England,
2026-08-02,Almirante Brown,Racing Cordoba,
2026-08-02,Cusco,UTC Cajamarca,
2026-08-02,NY Red Bulls,Orlando City,
2026-08-02,Racing Club,Tigre,
2026-08-02,Independiente d V,Deportivo Cuenca,
2026-08-02,Dinamo Brest,Belshina,
2026-08-02,Chicago,Charlotte FC,
2026-08-02,Cincinnati,San Jose,
2026-08-02,Aalesund,Tromso,
2026-08-02,Busan IPark,Seoul E-Land,
2026-08-02,Aldosivi,Gimnasia La Plata,
2026-08-02,LA Galaxy,Dallas,
2026-08-02,Temperley,Gimnasia y Tiro,
2026-08-02,Deportivo Maipu,Atlanta,
2026-08-02,Kansas City,Houston,
2026-08-02,Atletico Junior,Millonarios,
2026-08-02,Inter Miami CF,Columbus Crew,
2026-08-03,Djurgaarden,Vasteras,
2026-08-03,Cienciano,Universitario de Deportes,
2026-08-03,Santa Fe,Once Caldas,
2026-08-03,Guemes,Tristan Suarez,
2026-08-03,SJK,HJK Helsinki,
2026-08-03,Lanus,Instituto,
2026-08-03,Halmstads,IK Sirius,
2026-08-03,Club America,Santos Laguna,
2026-08-03,Leones,Barcelona de G,
2026-08-03,Sportivo Trinidense,Sp. San Lorenzo,
2026-08-04,Universidad Central,Monagas SC,
2026-08-04,LDU Quito,Delfin,
2026-08-04,Atletico Bucaramanga,Cucuta Deportivo,
2026-08-04,Carabobo FC,Trujillanos,
2026-08-04,Llaneros,Fortaleza CEIF,
2026-08-05,Caracas,Deportivo La Guaira,
2026-08-05,Boca Juniors,Estudiantes,
2026-08-05,Deportivo La Guaira,Metropolitanos,
2026-08-06,KPS Kuopio,Uni Craiova,
2026-08-06,Union Santa Fe,Lanus,
2026-08-06,Alianza Atletico,Cienciano,
2026-08-07,Sport Huancayo,Los Chankas,
2026-08-07,Hwaseong,Seoul E-Land,
2026-08-07,Gyeongnam,Daegu,
2026-08-07,Ostersunds FK,Sundsvall,
2026-08-08,Univ Catolica,Cobresal,
2026-08-08,Ljungskile,IK Oddevold,
2026-08-08,Coquimbo Unido,La Serena,
2026-08-08,Remo,Atletico Mineiro,
2026-08-08,Valerenga,Bodo Glimt,
2026-08-08,UTC Cajamarca,ADT,
2026-08-08,Viking,Sarpsborg,
2026-08-08,Santa Fe,Boyaca Chico,
2026-08-08,Deportivo Riestra,Estudiantes,
2026-08-08,Huachipato,Everton de Vina del Mar,
2026-08-08,Universitario de Deportes,Sporting Cristal,
2026-08-08,Norrkoping,IK Brage,
2026-08-08,Juan Pablo II College,Atletico Grau,
2026-08-08,Sanf Hiroshima,JEF United,
2026-08-08,Osters,Landskrona BoIS,
2026-08-08,Cerezo Osaka,Fagiano Okayama,
2026-08-09,Melgar,Cajamarca,
2026-08-09,Academia Puerto Cabello,Rayo Zuliano,
2026-08-09,O'Higgins,Deportes Limache,
2026-08-09,Portuguesa FC,Trujillanos,
2026-08-09,Lillestrom,Rosenborg,
2026-08-09,Estudiantes de Merida,Anzoategui,
2026-08-09,Instituto,Gimnasia de Mendoza,
2026-08-09,Deportivo Tachira,Monagas SC,
2026-08-09,HamKam,Aalesund,
2026-08-09,Varbergs Bois,Sandvikens,
2026-08-09,Deportes Concepcion,Universidad de Concepcion,
2026-08-09,Carabobo FC,Metropolitanos,
2026-08-09,Ilves Tampere,Mariehamn,
2026-08-09,Defensa y Justicia,Newell's OB,
2026-08-09,Union La Calera,Colo-Colo,
2026-08-09,Deportes Tolima,La Equidad,
2026-08-09,FC Inter,FC Lahti,
2026-08-09,Flamengo,Vitoria,
2026-08-09,Deportivo Garcilaso,Deportivo Moquegua,
2026-08-10,Norrby IF,Orebro,
2026-08-10,Libertad Ecu,Universidad Catolica,
2026-08-10,Argentinos Jun,Racing Club,
2026-08-11,Helsingborgs,Varnamo,
2026-08-11,Deportivo Cuenca,Manta,
2026-08-11,Union Santa Fe,Central Cordoba SDE,
2026-08-12,Deportes Tolima,Independiente d V,
2026-08-12,Talleres de Cordoba,Lanus,
2026-08-12,Platense,Coquimbo Unido,
2026-08-13,Mirassol,LDU Quito,
2026-08-14,IK Brage,Orebro,
2026-08-15,Kawasaki F,Kyoto Sanga,
2026-08-15,Nordic United,Varbergs Bois,
2026-08-15,Busan IPark,Hwaseong,
2026-08-15,Mito HollyHock,Gamba Osaka,
2026-08-15,Cusco,Juan Pablo II College,
2026-08-15,Guayaquil City,Libertad Ecu,
2026-08-15,Shimizu S-Pulse,Yokohama F. Marinos,
2026-08-15,ADT,Alianza Atletico,
2026-08-15,Cheongju,Jeonnam Dragons,
2026-08-15,Ljungskile,Osters,
2026-08-15,Independiente d V,Delfin,
2026-08-15,Mariehamn,SJK,
2026-08-15,Kashima Antlers,Nagoya Grampus,
2026-08-15,Sundsvall,Helsingborgs,
2026-08-15,Llaneros,Deportes Tolima,
2026-08-16,Colorado,Kansas City,
2026-08-16,Los Angeles FC,San Diego,
2026-08-16,Sp Luqueno,Libertad,
2026-08-16,Chicago,Portland Timb.,
2026-08-16,New York City,Philadelphia U,
2026-08-16,FC Lahti,KPS Kuopio,
2026-08-16,San Jose,St. Louis City SC,
2026-08-16,Emelec,Tecnico Universitario,
2026-08-16,Alianza Lima,UTC Cajamarca,
2026-08-16,Orlando City,Cincinnati,
2026-08-16,Charlotte FC,Columbus Crew,
2026-08-16,Real Salt Lake,Minnesota U,
2026-08-16,HJK Helsinki,FF Jaro,
2026-08-16,Cerro Porteno,Sp. San Lorenzo,
2026-08-16,Molde,Tromso,
2026-08-16,Seoul E-Land,Ansan Greeners,
2026-08-16,Monterrey,FC Juarez,
2026-08-16,Paju Frontier,Seongnam,
2026-08-16,Aalesund,Valerenga,
2026-08-16,Sarpsborg,Sandefjord,
2026-08-16,Toronto FC,New England,
2026-08-16,Atlanta U,NY Red Bulls,
2026-08-16,Brann,HamKam,
2026-08-16,Deportivo Moquegua,Sport Boys,
2026-08-17,Estudiantes de Rio Cuarto,Atletico Tucuman,
2026-08-17,Seattle,Vancouver W,
2026-08-17,Velez Sarsfield,Defensa y Justicia,
2026-08-17,Lanus,Independiente,
2026-08-17,Barracas Central,Rosario,
2026-08-17,America de Cali,Fortaleza CEIF,
2026-08-18,Millonarios,Deportivo Cali,
2026-08-18,Necaxa,Leon,
2026-08-18,Internacional,Remo,
2026-08-18,Palestino,Huachipato,
2026-08-18,Boyaca Chico,Atletico Junior,
2026-08-19,Independiente d V,Deportes Tolima,
2026-08-20,LA Galaxy,San Jose,
2026-08-20,Toronto FC,Charlotte FC,
2026-08-20,DC United,New England,
2026-08-20,Orlando City,Chicago,
2026-08-20,Philadelphia U,Inter Miami CF,
2026-08-20,Portland Timb.,San Diego,
2026-08-20,Seattle,Austin FC,
2026-08-20,Columbus Crew,Montreal Imp,
2026-08-20,Cincinnati,New York City,
2026-08-20,LDU Quito,Mirassol,
2026-08-21,Cajamarca,Atletico Grau,
2026-08-21,FC Tokyo,JEF United,
2026-08-21,Corinthians,Rosario,
2026-08-21,Alianza Atletico,Sporting Cristal,
